<<<<<<< HEAD
=======
affinity_1,affinity_2,target
>>>>>>> 5b2f5251f72ca0692ddbb0f87962004e365be54c
79,89,1
50,90,1
62,82,1
38,30,1
36,67,0
37,32,1
85,74,1
99,49,1
77,38,1
76,31,0
77,81,0
35,82,1
97,5,0
13,24,0
34,30,1
18,9,0
86,73,1
32,70,1
6,11,1
84,95,0
12,1,0
26,83,1
64,41,0
55,4,1
95,87,1
4,76,1
85,90,0
5,32,1
45,73,0
4,49,0
12,48,0
74,22,0
11,36,0
30,64,1
26,95,1
85,2,1
73,19,1
50,93,1
27,66,0
66,30,0
55,85,1
99,71,1
24,1,1
2,61,1
26,60,0
24,6,1
46,67,0
87,52,0
1,81,0
60,68,1
11,99,1
15,83,0
82,84,1
92,99,0
73,84,1
34,30,1
88,94,1
11,70,0
39,31,1
89,2,1
69,92,1
63,87,1
97,74,0
45,58,1
43,62,1
45,85,0
90,97,1
52,12,1
34,37,0
99,72,0
83,88,1
62,25,1
37,91,0
64,1,0
34,34,1
84,0,1
10,96,0
24,83,0
40,70,0
9,42,0
4,1,1
38,97,1
11,47,0
88,8,1
64,3,1
62,82,0
46,28,1
19,62,0
58,46,1
36,2,0
51,98,0
27,99,0
51,62,1
86,78,0
40,1,0
55,77,1
5,50,1
43,51,1
64,5,0
59,82,1
94,35,1
34,80,1
55,93,1
18,17,0
17,83,1
28,37,0
68,47,0
42,49,1
51,16,1
97,19,0
76,35,0
87,42,0
95,42,1
34,4,1
65,69,1
13,79,1
80,19,0
45,9,1
34,50,0
87,50,1
96,85,1
62,42,0
19,28,1
43,6,0
31,21,1
42,8,0
76,67,0
49,34,0
83,36,0
31,84,0
58,80,0
52,44,0
54,89,1
11,75,0
74,48,0
88,28,1
42,52,0
43,65,0
46,2,1
56,0,1
14,4,1
59,29,1
79,95,1
99,0,1
12,43,0
67,85,0
52,12,1
92,29,1
45,60,0
26,42,0
80,89,1
43,14,0
9,60,0
25,84,1
21,34,0
31,46,1
60,39,0
93,45,1
36,97,1
54,17,0
72,79,1
70,73,0
62,61,1
24,54,1
64,14,1
58,80,0
22,61,1
38,84,1
92,30,1
59,96,1
31,29,1
80,23,0
52,99,0
39,72,0
63,17,0
91,99,0
81,8,0
57,70,1
64,92,0
9,30,0
60,16,0
60,81,0
14,16,0
22,10,1
36,73,1
76,5,0
92,89,0
4,71,0
26,92,0
95,49,1
16,27,1
28,79,0
38,38,1
34,13,1
96,63,0
77,32,0
33,52,1
94,67,0
39,8,0
77,22,0
8,38,1
48,50,0
24,33,1
26,37,1
32,67,1
72,61,1
7,15,0
37,46,0
92,76,0
60,42,1
5,79,1
75,94,0
14,56,0
89,7,1
0,12,1
60,30,1
7,77,1
78,50,0
6,90,0
56,8,0
32,13,1
95,80,0
58,15,1
34,0,1
49,67,1
85,2,0
3,73,0
66,41,1
81,15,1
40,31,0
41,73,1
69,72,0
78,1,1
75,63,1
19,99,1
48,99,1
74,76,1
32,6,0
53,68,1
35,25,0
98,69,0
73,34,0
21,75,1
76,75,0
98,73,1
91,14,1
26,73,0
5,59,0
87,86,1
39,52,0
80,91,1
85,57,0
86,75,1
70,75,0
35,24,1
91,68,1
80,25,1
12,29,0
93,36,1
64,53,1
80,93,1
47,17,1
79,95,1
39,78,1
92,38,1
70,12,1
50,41,0
67,66,1
15,18,1
49,26,1
51,5,1
11,53,1
85,86,0
39,79,1
19,85,0
29,49,1
24,19,1
52,53,1
32,78,1
22,38,0
74,48,1
66,89,1
46,34,1
54,89,0
23,43,0
14,96,1
7,81,0
64,57,0
48,86,1
55,93,0
29,0,1
15,4,0
79,80,0
58,93,1
19,78,0
95,57,1
38,23,0
40,40,1
9,90,0
6,44,0
44,41,1
16,42,0
61,93,0
57,89,0
12,15,0
5,42,0
49,37,0
24,85,1
18,93,0
16,52,1
15,65,0
20,99,0
70,40,0
14,38,0
19,41,1
86,79,0
91,55,0
36,26,0
78,26,0
45,14,1
73,53,0
38,83,0
58,70,1
12,8,0
64,75,0
6,86,0
99,3,0
55,88,0
19,79,1
77,63,1
89,21,0
0,95,1
72,57,1
72,95,0
48,31,0
87,11,1
78,34,1
55,11,1
21,56,0
60,14,1
70,57,0
41,88,0
39,40,1
67,81,0
34,8,1
42,68,1
53,58,1
51,87,1
29,26,0
14,0,0
42,77,1
51,76,0
36,5,1
16,31,1
61,43,1
32,17,0
92,93,1
66,84,0
99,22,0
66,75,1
19,89,0
1,76,0
30,49,0
58,46,0
59,4,1
13,51,1
35,13,1
46,15,0
86,99,1
74,82,1
45,33,0
42,64,0
33,5,1
95,86,0
52,5,0
87,98,0
21,91,0
13,31,1
50,27,0
82,92,1
14,32,1
8,31,0
91,79,0
18,97,0
7,68,1
17,46,0
5,90,0
55,17,1
57,39,1
27,66,0
15,37,0
61,53,0
80,14,0
68,65,0
53,46,0
9,82,1
15,24,1
78,83,1
64,90,0
12,96,0
26,89,1
65,18,1
3,10,1
35,91,0
75,42,0
68,71,0
91,4,1
46,74,1
23,75,0
64,53,1
5,32,0
65,14,0
75,65,1
41,26,0
26,59,0
55,82,0
40,62,0
18,49,1
39,15,1
54,93,1
29,49,1
39,23,0
8,39,1
62,69,0
20,25,1
10,11,1
92,86,1
2,4,0
4,50,1
56,19,0
31,17,0
80,74,1
5,82,0
48,94,0
15,94,0
26,64,0
81,69,0
2,67,1
29,75,1
53,46,0
76,69,1
53,85,1
51,15,0
16,18,0
85,44,0
81,92,0
6,69,1
68,25,0
46,22,1
89,82,1
76,14,1
71,95,0
93,34,1
6,39,0
4,87,1
1,69,0
89,46,0
62,90,1
10,7,1
36,61,1
70,69,1
37,66,0
27,36,1
59,49,1
23,44,1
51,17,0
44,22,1
54,61,1
22,9,0
27,44,1
73,89,0
3,52,1
11,52,0
16,10,1
5,99,0
22,7,0
42,29,1
71,56,1
77,7,0
35,65,0
76,68,1
78,80,0
64,91,0
22,81,0
8,13,0
35,38,0
33,58,1
66,3,1
75,8,0
31,8,0
27,15,1
97,89,0
64,69,1
1,44,1
91,53,0
72,71,1
63,69,0
55,48,0
66,16,1
49,48,1
15,13,1
91,16,1
3,66,1
95,19,1
6,87,0
65,39,1
84,1,1
75,69,0
17,53,1
79,47,1
28,31,1
65,9,0
55,13,1
43,60,0
41,12,0
56,2,1
46,52,1
86,54,1
96,20,1
35,1,1
31,38,0
18,12,0
72,71,1
87,30,0
52,15,0
85,84,0
3,85,1
35,92,1
8,99,1
34,66,1
73,77,1
33,88,0
45,37,1
86,72,1
41,76,1
15,55,1
69,46,1
95,79,0
21,11,1
85,36,0
84,31,0
69,45,0
99,11,0
75,3,1
67,32,0
51,18,1
84,16,0
36,29,1
77,93,0
59,93,1
74,90,0
69,24,0
75,8,0
22,36,1
35,20,0
11,77,0
77,87,1
69,51,1
11,6,1
55,34,0
22,62,0
8,61,1
8,66,0
22,51,0
96,57,0
30,79,0
14,98,0
64,53,0
52,93,0
40,17,1
66,36,0
56,25,0
70,72,1
96,25,1
42,39,1
22,1,1
0,94,0
29,35,0
42,51,1
69,12,0
55,65,0
1,81,0
24,16,1
84,48,0
45,62,1
13,17,1
29,55,0
11,49,0
39,3,0
9,19,1
83,71,0
82,1,1
17,1,0
81,54,1
6,74,0
13,70,0
93,7,1
41,12,1
41,34,1
88,5,0
11,74,0
18,15,0
76,43,0
7,83,1
70,1,1
23,80,1
46,22,0
4,78,0
90,70,0
76,63,0
33,33,1
56,39,0
95,15,1
61,15,1
96,9,0
46,52,1
81,93,0
11,83,0
55,39,1
81,88,1
0,43,0
58,7,0
77,15,0
54,28,1
73,70,1
59,10,0
45,54,0
84,25,1
40,12,0
71,24,0
12,60,1
20,22,0
66,78,1
59,78,1
29,75,0
64,21,1
14,90,0
48,30,0
37,59,1
37,70,0
85,33,0
94,24,0
36,87,1
35,96,0
47,80,1
49,28,1
3,11,1
41,40,1
24,54,0
88,93,1
57,91,0
9,72,1
45,40,0
4,30,1
77,51,1
76,32,1
86,44,0
79,99,1
36,90,0
72,49,0
0,87,0
97,40,0
56,57,0
20,37,1
87,36,1
10,69,1
71,40,0
75,29,0
78,36,1
73,77,0
26,6,0
64,42,0
74,76,1
56,19,1
97,44,1
76,78,0
48,40,1
12,82,0
50,24,1
94,99,1
3,22,1
32,29,0
17,10,1
55,41,0
25,80,0
28,49,1
32,92,1
32,17,1
91,99,1
77,97,0
98,29,1
89,69,1
93,34,0
89,51,0
78,16,1
94,62,0
0,61,1
22,39,0
